"id_expenses";"electricity";"water";"fuel";"natural_gas";"dues";"FK_member_id_";"FK_id_tenant"
"201";"160";"70";"350";"20";"2950";"10139312820";""
"202";"165";"50";"200";"20";"2950";"15300988576";""
"203";"190";"70";"200";"20";"4500";"99502014516";""
"204";"160";"75";"250";"20";"2950";"15391989780";""
"205";"";"85";"300";"20";"2950";"16782313078";""
"206";"190";"80";"350";"20";"2950";"18123582426";""
"207";"168";"60";"250";"25";"2950";"18220546222";""
"208";"150";"65";"200";"20";"2950";"18651018718";""
"209";"170";"55";"300";"20";"2950";"18784517270";"101"
"210";"";"65";"350";"20";"2950";"18857191000";"102"
"211";"185";"75";"354";"20";"2950";"19892736690";"103"
"212";"195";"70";"368";"25";"2950";"21829347534";"104"
"213";"170";"85";"400";"25";"2950";"10842941874";""
"214";"190";"50";"457";"25";"2950";"22411011642";"105"
"215";"195";"";"497";"20";"3650";"24161299622";""
"216";"150";"55";"300";"20";"2950";"24451521846";""
"217";"150";"60";"259";"25";"2950";"28067791976";""
"218";"155";"76";"200";"20";"2950";"29617596904";""
"219";"165";"";"290";"30";"2950";"29620352122";""
"220";"160";"86";"368";"30";"2950";"30748498104";""
"221";"175";"70";"450";"30";"3650";"31789830144";""
"222";"175";"75";"455";"25";"3650";"33164816866";""
"223";"";"65";"365";"20";"3650";"33188647774";""
"224";"180";"60";"367";"25";"2950";"12043941318";""
"225";"185";"76";"376";"30";"3650";"34416074010";""
"226";"180";"75";"460";"30";"3650";"35625236350";"106"
"227";"190";"85";"345";"25";"3650";"35942947946";""
"228";"195";"80";"287";"25";"3650";"36459619586";""
"229";"200";"75";"299";"25";"3650";"38099947920";""
"230";"150";"75";"250";"20";"3650";"39375686816";""
"231";"160";"70";"260";"20";"3650";"39416734940";""
"232";"160";"";"300";"25";"3650";"39676611166";""
"233";"175";"";"350";"30";"3650";"40437026624";""
"234";"150";"70";"400";"30";"3650";"42809282690";"107"
"235";"165";"";"450";"30";"2950";"12827184610";""
"236";"160";"50";"458";"25";"3650";"44550111618";"108"
"237";"180";"50";"452";"25";"4200";"44609391916";""
"238";"185";"55";"500";"25";"4200";"44719755158";""
"239";"170";"65";"350";"25";"4200";"47980628060";""
"240";"175";"69";"255";"20";"4200";"48273549338";""
"241";"190";"70";"290";"20";"4200";"49017451214";"109"
"242";"196";"75";"367";"20";"4200";"49184534604";"110"
"243";"188";"70";"389";"30";"4200";"51071127622";"111"
"244";"180";"85";"329";"30";"4200";"51184083594";"112"
"245";"185";"80";"334";"30";"4200";"51580079870";"113"
"246";"165";"85";"345";"30";"2950";"13335379352";""
"247";"190";"75";"367";"25";"4200";"52225257202";"114"
"248";"160";"70";"357";"25";"4500";"54036229034";""
"249";"150";"70";"368";"25";"4500";"54794556038";""
"250";"150";"70";"453";"25";"4500";"56048359662";""
"251";"160";"80";"456";"20";"4500";"57008697596";""
"252";"180";"";"432";"20";"4500";"58375489920";""
"253";"";"50";"345";"20";"4500";"58925384880";""
"254";"200";"60";"364";"30";"4500";"61407576130";""
"255";"160";"70";"365";"30";"4500";"61481495648";""
"256";"200";"75";"378";"25";"4500";"63172355620";""
"257";"190";"65";"395";"20";"2950";"13512199742";""
"258";"185";"65";"399";"25";"4500";"64806731780";""
"259";"150";"60";"370";"30";"4500";"66737401374";"115"
"260";"155";"";"400";"30";"4500";"67506672650";"116"
"261";"165";"60";"402";"25";"4500";"70139247812";"117"
"262";"175";"70";"302";"25";"4500";"72965017782";""
"263";"179";"60";"440";"";"4500";"73658464036";""
"264";"170";"70";"460";"30";"4500";"74057246094";"118"
"265";"200";"90";"479";"";"4500";"74469020596";""
"266";"";"95";"430";"";"4500";"74636359788";"119"
"267";"197";"85";"230";"20";"4500";"74974057834";"120"
"268";"165";"85";"390";"25";"2950";"13769377160";""
"269";"176";"90";"397";"25";"4500";"77062630056";"121"
"270";"175";"90";"309";"25";"4500";"77212405008";""
"271";"180";"50";"390";"20";"4500";"77796001030";""
"272";"185";"55";"380";"20";"4500";"78122839044";"122"
"273";"195";"75";"400";"20";"4500";"78632184368";"123"
"274";"190";"70";"410";"25";"4500";"78741290592";""
"275";"";"70";"415";"25";"4500";"79234917866";""
"276";"200";"70";"426";"30";"4500";"79757598726";""
"277";"";"80";"437";"30";"4500";"79858419180";""
"278";"";"70";"400";"30";"4500";"80227794616";""
"279";"200";"70";"483";"25";"2950";"13808136628";""
"280";"";"60";"493";"20";"4500";"82090409888";"124"
"281";"160";"60";"350";"20";"4500";"82615535566";"125"
"282";"165";"50";"422";"25";"4500";"82685875166";"126"
"283";"169";"55";"390";"25";"4500";"82855878898";""
"287";"";"85";"265";"25";"4500";"88406144016";"128"
"288";"200";"95";"289";"";"4500";"88453947042";""
"289";"194";"90";"400";"20";"4500";"90354107548";""
"290";"175";"66";"360";"25";"2950";"14751469108";""
"291";"180";"75";"300";"25";"4500";"91247047712";"129"
"292";"185";"80";"350";"20";"4500";"92672901488";"130"
"293";"175";"50";"390";"30";"4500";"94080091584";""
"294";"165";"70";"370";"25";"4500";"94793760746";"131"
"295";"159";"75";"480";"20";"4500";"94846659966";""
"296";"190";"75";"488";"20";"4500";"95385659370";"132"
"297";"160";"70";"399";"25";"4500";"96077540716";""
"298";"170";"80";"366";"30";"4500";"97171875476";""
"299";"175";"86";"378";"30";"4500";"97709478438";""
"300";"165";"85";"389";"30";"4500";"98806969904";""
"384";"168";"55";"399";"";"4500";"84962590564";""
"385";"193";"65";"360";"20";"4500";"85174528246";""
"386";"164";"75";"360";"25";"4500";"86616707786";"127"
