"id_lease";"rent_money";"deposit";"start_date";"end_date";"late_fee";"square_meters";"FK_id_member";"FK_door_number"
"1";"4200";"2100";"2021-12-15";"2022-01-15";"";"120";"18784517270";"A2/6"
"10";"5250";"2900";"2021-12-15";"2022-01-15";"";"170";"49184534604";"C1/6"
"11";"5250";"";"2021-12-15";"2022-01-15";"";"170";"51071127622";"C1/7"
"12";"5250";"";"2021-12-15";"2022-01-15";"";"170";"51184083594";"C1/8"
"13";"5250";"3000";"2021-12-15";"2022-01-15";"";"170";"51580079870";"C1/9"
"14";"5250";"";"2021-12-15";"2022-01-15";"";"170";"52225257202";"C1/10"
"15";"7500";"";"2021-12-15";"2022-01-15";"";"182";"66737401374";"D1/1"
"16";"7500";"3800";"2021-12-15";"2022-01-15";"";"182";"67506672650";"D1/2"
"17";"7500";"3800";"2021-12-15";"2022-01-15";"";"182";"70139247812";"D1/3"
"18";"7500";"";"2021-12-15";"2022-01-15";"";"182";"74057246094";"D1/6"
"19";"7500";"";"2021-12-15";"2022-01-15";"";"182";"74636359788";"D1/8"
"2";"4200";"2000";"2021-12-15";"2022-01-15";"";"120";"18857191000";"A2/7"
"20";"7500";"";"2021-12-15";"2022-01-15";"";"182";"74974057834";"D1/9"
"21";"7500";"";"2021-12-15";"2022-01-15";"";"182";"77062630056";"D1/10"
"22";"7500";"";"2021-12-15";"2022-01-15";"";"182";"78122839044";"D2/3"
"23";"7500";"";"2021-12-15";"2022-01-15";"";"182";"78632184368";"D2/4"
"24";"7500";"";"2021-12-15";"2022-01-15";"";"182";"82090409888";"D2/10"
"25";"7500";"3950";"2021-12-15";"2022-01-15";"";"182";"82615535566";"E1/1"
"26";"7500";"";"2021-12-15";"2022-01-15";"";"182";"82685875166";"E1/2"
"27";"7500";"";"2021-12-15";"2022-01-15";"";"182";"86616707786";"E1/6"
"28";"7500";"4000";"2021-12-15";"2022-01-15";"";"182";"88406144016";"E1/7"
"29";"7500";"";"2021-12-15";"2022-01-15";"";"182";"91247047712";"E1/10"
"3";"4200";"2600";"2021-12-15";"2022-01-15";"";"120";"19892736690";"A2/8"
"30";"7500";"";"2021-12-15";"2022-01-15";"";"182";"92672901488";"E2/1"
"31";"7500";"";"2021-12-15";"2022-01-15";"";"182";"94793760746";"E2/3"
"32";"7500";"";"2021-12-15";"2022-01-15";"";"182";"95385659370";"E2/5"
"4";"4200";"";"2021-12-15";"2022-01-15";"";"120";"21829347534";"A2/9"
"5";"4200";"";"2021-12-15";"2022-01-15";"";"120";"22411011642";"A2/10"
"6";"5000";"3250";"2021-12-15";"2022-01-15";"";"150";"35625236350";"B2/1"
"7";"5000";"";"2021-12-15";"2022-01-15";"";"150";"42809282690";"B2/9"
"8";"5000";"";"2021-12-15";"2022-01-15";"";"150";"44550111618";"B2/10"
"9";"5250";"3100";"2021-12-15";"2022-01-15";"";"170";"44550111618";"C1/5"
