"id_member";"member_name";"member_surname";"member_phone";"member_email";"member_address";"member_province";"member_state"
"10139312820";"Yavuz";"Altýnser";"(0545)-8490211";"yavuz@gmail.com";"Boðaziçi Sitesi 2, Ýstinye, 34460 Sarýyer/Ýstanbul";"Ýstanbul";"Sarýyer"
"10842941874";"Vedat";"Kale";"(0598)-8388300";"vedatkale@gmail.com";"Ethem Efendi Cd. 96-102, Erenköy, 34738 Kadýköy/Ýstanbul";"Ýstanbul";"Kadýköy"
"12043941318";"Ali Faruk";"Ural";"(0549)-8990265";"alifarukural@gmail.com";"Anadolu Yakasý, Feyzullah, 34843 Maltepe/Ýstanbul";"Ýstanbul";"Maltepe"
"12827184610";"Hakan";"Pak";"(0587)-4335784";"hakan@hotmail.com";"Hatipoðlu Sk. No:10, Yeni Mh., 34570 Silivri/Ýstanbul";"Ýstanbul";"Silivri"
"13335379352";"Güney";"Týrnaksýz";"(0553)-4016169";"güney@gmail.com";"Kazým Karabekir caddesi 1986 sok. No:6, Cumhuriyet, 34515 Esenyurt/Ýstanbul";"Ýstanbul";"Esenyurt"
"13512199742";"Eren";"Aykent";"(0533)-7650098";"eren@hotmail.com";"Yörükler Köyü Yolu, 81620 Yörük/Düzce Merkez/Düzce";"Düzce";"Merkez"
"13769377160";"Murat";"Mahsel";"(0598)-8754392";"muratmehsel@gmail.com";"Sarýyer Cd. 70, Ýstinye, 34460 Sarýyer/Ýstanbul";"Ýstanbul";"Sarýyer"
"13808136628";"Nura";"Manesi";"(0587)-5647889";"nura@hotmail.com.tr";"Gümüþ Sk., Cumhuriyet, 34457 Sarýyer/Ýstanbul";"Ýstanbul";"Sarýyer"
"14751469108";"Banu";"Sinaner";"(0532)-7513262";"banu@gmail.com";"Ertuðrul Gazi Cd. 33-29, Mavigöl, 34287 Arnavutköy/Ýstanbul";"Ýstanbul";"Arnavutköy"
"15300988576";"Ecmel";"Soylu";"(0555)-5683560";"ecmel@gmail.com";"Gazete Muhabirleri Sitesi 4, Kültür, 34340 Beþiktaþ/Ýstanbul";"Ýstanbul";"Beþiktaþ"
"15391989780";"Þirin";"Leylak";"(0568)-8764325";"sirinn@hotmail.com";"Akçay Lunapark, Akçay, Turgut Reis Cd. No:23, 10300 Edremit/Balýkesir";"Balýkesir";"Edremit"
"16782313078";"Kevser";"Vade";"(0555)-3422112";"kevser@hotmail.com.tr";"Azem Sk. No:23, Nenehatun, 41700 Darýca/Kocaeli";"Kocaeli";"Darýca"
"18123582426";"Melih";"Keskin";"(0572)-4880905";"melihh@hotmail.com.tr";"Kýzýlca Köyü Cami, Kýzýlca, 34980 Þile/Istanbul - Asia";"Ýstanbul";"Þile"
"18220546222";"Cansu";"Ýlhanlý";"(0553)-0456175";"cansu@hotmail.com";"Baðdat Cd. 53, Altýntepe, 34840 Maltepe/Ýstanbul";"Ýstanbul";"Maltepe"
"18651018718";"Meltem";"Candan";"(0542)-2033116";"meltemci11@hotmail.com";"Nurhan Sok. 11-1, Merkez, 34406 Kâðýthane/Ýstanbul";"Ýstanbul";"Kaðýthane"
"18784517270";"Oðuz";"Atay";"(0552)-3239800";"oguzatay@gmail.com";"Zakkum Sk, Altýntepe, 34840 Maltepe/Ýstanbul";"Ýstanbul";"Maltepe"
"18857191000";"Kenan";"Keres";"(0523)-5677890";"kenan@hotmail.com.tr";"Düzce Cd. 2-4, Þehit Kemal Iþýldak, 81620 Düzce Merkez/Düzce";"Düzce";"Merkez"
"19892736690";"Deren";"Kýlým";"(0541)-0004630";"deren@gmail.com";"Barbaros Hayrettin Cd. 16-20, Burgazadasý, 34975 Adalar/Ýstanbul";"Ýstanbul";"Adalar"
"21829347534";"Fýrat";"Albayram";"(0538)-3451252";"fýraat@hotmail.com";"Piempi, Soðanlýk Yeni, 34880 Kartal/Ýstanbul";"Ýstanbul";"Kartal"
"22411011642";"Orhan";"Pamuk";"(0545)-4663729";"orhanpamuk@gmail.com";"Vezirköþkü Sk. 2-6, Bebek, Beþiktaþ/Ýstanbul";"Ýstanbul";"Beþiktaþ"
"24161299622";"Ýsmail";"Sekant";"(0598)-9393021";"ismailsektan@gmail.com";"Acýsu Sokaði NO 19, Viþnezade, 34357 Beþiktaþ/Ýstanbul";"Ýstanbul";"Beþiktaþ"
"24451521846";"Ahmet Ali";"Kemik";"(0552)-8884392";"ahmetali@gmail.com";"Bahariyeli Sk 46-64, Erenköy, 34738 Kadýköy/Ýstanbul";"Ýstanbul";"Kadýköy"
"28067791976";"Levent";"Vas";"(0578)-3218877";"leventvas@gmail.com";"Hastane Cd., Yukarý Zaferiye, 22800 Keþan/Edirne";"Edirne";"Keþan"
