"id_tenant";"tenant_name";"tenant_surname";"tenant_email";"tenant_phone";"FK_iid_lease"
"101";"Oðuz";"Atay";"oguzatay@gmail.com";"(0552)-3239800";"1"
"102";"Kenan";"Keres";"kenan@hotmail.com.tr";"(0523)-5677890";"2"
"103";"Deren";"Kýlým";"deren@gmail.com";"(0541)-0004630";"3"
"104";"Fýrat";"Albayram";"fýraat@hotmail.com";"(0538)-3451252";"4"
"105";"Orhan";"Pamuk";"orhanpamuk@gmail.com";"(0545)-4663729";"5"
"106";"Samet";"Satýlmýþ";"samet@hotmail.com";"(0553)-2353856";"6"
"107";"Mert";"Yatkýn";"mertyatkýn@gmail.com";"(0549)-6657493";"7"
"108";"Ýpek";"Sel";"ipeksel@gmail.com";"(0505)-7317841";"8"
"109";"Orhan";"Kelek";"orhan@hotmail.com.tr";"(0578)-2389730";"9"
"110";"Serra";"Sakkent";"serrasakkent@hotmail.com.tr";"(0532)-4568732";"10"
"111";"Sait Faik";"Abasýyanýk";"saitfaik@gmail.com";"(0585)-9884032";"11"
"112";"Ahmet Temel";"Tek";"temel@hotmail.com.tr";"(0506)-0689739";"12"
"113";"Faruk";"Seffetgiller";"farukk@gmail.com";"(0547)-4355219";"13"
"114";"Rýza";"Yelkenli";"rýzaa@gmail.com";"(0597)-6554678";"14"
"115";"Vehbi";"Ülke";"vehbiulke@hotmail.com.tr";"(0555)-0987421";"15"
"116";"Koray";"Dað";"korayy@gmail.com";"(0530)-9624300";"16"
"117";"Burhan";"Altýn";"burhan@hotmail.com.tr";"(0535)-9008535";"17"
"118";"Ceyda";"Kasabalý";"ceyda22@hotmail.com";"(0553)-2256118";"18"
"119";"Reþat Nuri";"Güntekin";"resatnuri@gmail.com";"(0585)-8939902";"19"
"120";"Handan";"Ýlet";"handan@hotmail.com";"(0531)-4230111";"20"
"121";"Adnan";"Yörük";"adnan@hotmail.com";"(0505)-4532778";"21"
"122";"Muhammed";"Alken";"muhammedalken@gmail.com";"(0548)-8990422";"22"
"123";"Hayri";"Necdet";"hayrii@gmail.com";"(0541)-9998454";"23"
"124";"Selda";"Kerim";"selda@gmail.com";"(0534)-1233214";"24"
"125";"Muzaffer";"Pakke";"muzafferpakke@hotmail.com.tr";"(0545)-0981202";"25"
"126";"Fetih";"Þifa";"fetihsifa@hotmail.com.tr";"(0555)-6788900";"26"
"127";"Cemal";"Süreya";"cemall@gmail.com";"(0548)-0092120";"27"
"128";"Seda";"Bakan";"bakan@hotmail.com.tr";"(0542)-6010591";"28"
"129";"Kenan";"Ýmam";"kenannn@hotmail.com.tr";"(0538)-8211860";"29"
"130";"Alp";"Akdeniz";"alpakdeniz@hotmail.com.tr";"(0542)-9908754";"30"
"131";"Remzi";"Tekil";"remzi@gmail.com";"(0537)-5558313";"31"
"132";"Serap";"Laleliler";"serap@hotmail.com";"(0531)-5647894";"32"
